Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"54-1","Space","UFO",1997,"UFO Action Pack",,94,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,208.4700,,"",""
"697-2","Books","LEGO",1997,"Building Ideas Book",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1739-1","Duplo","",1997,"Penguin",,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.5000,,"",""
"1781-1","Duplo","",1997,"Dinosaur Babies",,90,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1782-1","Town","Divers",1997,"Discovery Station",5,322,,50,,,5702010917822,,,,,,"",0,0,0,,0,0,,,,,,,,,200.0000,119.9900,"",""
"1783-1","Primo","",1997,"Primo Rattle",,2,,1,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.9900,0.9500,"",""
"1824-1","Basic","",1997,"Flying Duck",1,17,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.1200,,"",""
"1825-1","Basic","",1997,"Racing Car",,19,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.4500,,"",""
"1826-1","Basic","",1997,"Bird? Boat? Plane?",,19,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1827-1","Basic","",1997,"Helicopter",,19,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.8300,,"",""
"1867-1","Basic","",1997,"Medium Bulk Bucket",,400,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2003-1","Primo","",1997,"Jumbo Building Bag",1,80,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2008-2","Primo","",1997,"{?}",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2009-2","Primo","",1997,"Large Bulk Box",,25,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,240.0000,52.9500,"",""
"2010-1","Primo","",1997,"Baby Walker",1,14,,30,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,66.5700,"",""
"2081-1","Primo","",1997,"Stack 'n' Learn Starter Set",,6,,4,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,15.0000,,"",""
"2083-1","Primo","",1997,"Medium Stack 'n' Learn Set",1,8,,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2085-1","Primo","",1997,"Frederick Frog",,13,,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2087-1","Primo","",1997,"Polly Parrot Storage Bird",,20,,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2089-1","Primo","",1997,"Stack 'n' Learn Gift Set",1,23,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,29.8000,"",""
"2093-1","Primo","",1997,"The Ladybird Rattle",,1,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2094-1","Primo","",1997,"Cozy Duck",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,19.1600,10.7000,"",""
"2095-1","Primo","",1997,"Roll 'n' Play Ball",,2,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,10.0000,"",""
"2096-1","Primo","",1997,"Stack-a-Mouse",,6,,9,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,10.8800,"",""
"2097-1","Primo","",1997,"Caterpillar and Friends",,3,,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,9.7800,"",""
"2098-1","Primo","",1997,"Bathtime Boat",1,2,,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,15.2500,"",""
"2099-1","Primo","",1997,"The Shape Sorter",,7,,15,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,27.6600,"",""
"2121-1","Basic","",1997,"Stomper",,11,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,1.8000,,"",""
"2122-1","Basic","",1997,"Bob",,14,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.9300,1.4900,"",""
"2123-1","Basic","",1997,"Spinner",,12,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.9300,,"",""
"2124-1","Duplo","",1997,"Green Bucket",1,39,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2125-1","Duplo","",1997,"Large Bucket",1,70,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2126-1","Trains","9V",1997,"Train Cars",5,378,,69.5,,,5702010921263,,,,,,"",0,0,0,,0,0,,,,,,,,,421.8400,150.0000,"",""
"2127-1","Basic","",1997,"Nanas",,13,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.0000,,"",""
"2129-1","Technic","",1997,"Blast-Off Dragster",,63,,7,,,,,19.2,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,20.1600,5.6900,"01/01/1997","31/12/1998"
"2135-1","Basic","",1997,"Aeroplane",,9,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.4800,0.4400,"",""
"2136-1","Basic","",1997,"Aeroplane",,11,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.4300,,"",""
"2137-1","Basic","",1997,"Swamp Boat",,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.9900,1.4400,"",""
"2138-1","Basic","",1997,"Helicopter",,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,4.9100,0.3800,"",""
"2139-1","Basic","",1997,"Boat",,12,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.4300,0.3700,"",""
"2147-1","Town","Special",1997,"Dragon Fly",2,183,,28,,,5702010921478,,19.2,9.6,6,,"",0,0,0,,0,0,,,,,,,,,26.2400,19.5500,"01/01/1997","31/12/2000"
"2148-1","Town","Vehicles",1997,"LEGO Truck",1,105,,11,,,,,19.2,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,75.0000,24.5600,"01/01/1997","31/12/1999"
"2149-1","Town","Special",1997,"Color Line Container Lorry",1,191,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,140.0000,102.6300,"",""
"2151-1","Space","RoboForce",1997,"Robo Raider",1,136,,12,,,,042884021511,,,,,"",0,0,0,,0,0,,,,,,,,,60.5800,19.3200,"",""
"2152-1","Space","RoboForce",1997,"Robo Raptor",1,221,,20,,,,042884021528,,,,,"",0,0,0,,0,0,,,,,,,,,80.0000,36.9600,"",""
"2153-1","Space","RoboForce",1997,"Robo Stalker",2,280,,30,,,,42884021535,28.8,28.8,6,,"",0,0,0,,0,0,,,,,,,,,108.6900,45.3300,"01/01/1997","01/03/1999"
"2154-1","Space","RoboForce",1997,"Robo Master",2,366,,36,,,,42884021542,,,,,"",0,0,0,,0,0,,,,,,,,,333.0000,83.9000,"",""
"2160-1","Aquazone","Aquaraiders",1997,"Crystal Scavenger",1,110,,15,,,,,24,14.4,6,,"",0,0,0,,0,0,,,,,,,,,180.0000,36.7800,"01/05/1997","31/12/1998"
"2161-1","Aquazone","Aquaraiders",1997,"Aqua Dozer",1,136,,25,,,,,28.8,24,6,,"",0,0,0,,0,0,,,,,,,,,170.0000,40.0000,"01/05/1997","31/12/1998"
"2162-1","Aquazone","Aquaraiders",1997,"Hydro Reef Wrecker",2,287,,40,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,270.0000,59.8300,"",""
"2163-1","Basic","",1997,"Toucan",,9,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,6.3500,0.3800,"",""
"2164-1","Basic","",1997,"Whale",,9,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,7.4000,1.0400,"",""
"2165-1","Basic","",1997,"Rhinocerous",,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.5000,1.0100,"",""
"2166-1","Basic","",1997,"Elephant",,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,5.2900,,"",""
